Experiment,Dataset,Comparison,compar1_nreps,compar2_nreps
Experiment 1,Buenrostro_2018,CMP_vs_GMP,4,3
Experiment 1,Buenrostro_2018,CMP_vs_HSC,4,3
Experiment 1,Buenrostro_2018,CMP_vs_MEP,4,2
Experiment 1,Buenrostro_2018,CMP_vs_MPP,4,2
Experiment 1,Buenrostro_2018,GMP_vs_HSC,3,3
Experiment 1,Buenrostro_2018,GMP_vs_MEP,3,2
Experiment 1,Buenrostro_2018,GMP_vs_MPP,3,2
Experiment 1,Buenrostro_2018,HSC_vs_MEP,3,2
Experiment 1,Buenrostro_2018,HSC_vs_MPP,3,2
Experiment 1,Buenrostro_2018,MEP_vs_MPP,2,2
Experiment 1,Corces_2016,Blast_vs_LSC,2,2
Experiment 1,GonzalesBlas_2018,0 hours_vs_24 hours,2,2
Experiment 1,GonzalesBlas_2018,0 hours_vs_48 hours,2,2
Experiment 1,GonzalesBlas_2018,0 hours_vs_72 hours,2,2
Experiment 1,Satpathy_2018,Naive T cell_vs_Th17 T cell,3,2
Experiment 1,Pliner_2018,0_hours_vs_72_hours,2,2
Experiment 2,Argelaguet_2022,NMP_vs_Notochord,6,7
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Surface_ectoderm,8,8
Experiment 2,Argelaguet_2022,Erythroid3_vs_Surface_ectoderm,4,8
Experiment 2,Argelaguet_2022,Erythroid1_vs_Paraxial_mesoderm,6,8
Experiment 2,Argelaguet_2022,Pharyngeal_mesoderm_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,ExE_endoderm_vs_Spinal_cord,8,8
Experiment 2,Argelaguet_2022,Def__endoderm_vs_Pharyngeal_mesoderm,8,8
Experiment 2,Argelaguet_2022,Blood_progenitors_1_vs_Rostral_neurectoderm,8,6
Experiment 2,Argelaguet_2022,Erythroid1_vs_Gut,6,8
Experiment 2,Argelaguet_2022,Forebrain_Midbrain_Hindbrain_vs_Parietal_endoderm,8,7
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Gut,8,8
Experiment 2,Argelaguet_2022,Def__endoderm_vs_Erythroid3,8,4
Experiment 2,Argelaguet_2022,Blood_progenitors_1_vs_Forebrain_Midbrain_Hindbrain,8,8
Experiment 2,Argelaguet_2022,Endothelium_vs_Somitic_mesoderm,7,8
Experiment 2,Argelaguet_2022,ExE_endoderm_vs_Gut,8,8
Experiment 2,Argelaguet_2022,Def__endoderm_vs_Neural_crest,8,6
Experiment 2,Argelaguet_2022,Gut_vs_Notochord,8,7
Experiment 2,Argelaguet_2022,Erythroid2_vs_Erythroid3,6,4
Experiment 2,Argelaguet_2022,Intermediate_mesoderm_vs_Visceral_endoderm,8,8
Experiment 2,Argelaguet_2022,Notochord_vs_Surface_ectoderm,7,8
Experiment 2,Argelaguet_2022,Erythroid2_vs_Somitic_mesoderm,6,8
Experiment 2,Argelaguet_2022,Endothelium_vs_Erythroid2,7,6
Experiment 2,Argelaguet_2022,Parietal_endoderm_vs_Visceral_endoderm,7,8
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_Notochord,7,7
Experiment 2,Argelaguet_2022,Allantois_vs_Cardiomyocytes,7,6
Experiment 2,Argelaguet_2022,Blood_progenitors_1_vs_Notochord,8,7
Experiment 2,Argelaguet_2022,NMP_vs_Parietal_endoderm,6,7
Experiment 2,Argelaguet_2022,Erythroid3_vs_Rostral_neurectoderm,4,6
Experiment 2,Argelaguet_2022,Allantois_vs_Forebrain_Midbrain_Hindbrain,7,8
Experiment 2,Argelaguet_2022,Intermediate_mesoderm_vs_Surface_ectoderm,8,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Neural_crest,8,6
Experiment 2,Argelaguet_2022,Gut_vs_Paraxial_mesoderm,8,8
Experiment 2,Argelaguet_2022,Haematoendothelial_progenitors_vs_Surface_ectoderm,8,8
Experiment 2,Argelaguet_2022,Neural_crest_vs_Spinal_cord,6,8
Experiment 2,Argelaguet_2022,Forebrain_Midbrain_Hindbrain_vs_Paraxial_mesoderm,8,8
Experiment 2,Argelaguet_2022,Endothelium_vs_Gut,7,8
Experiment 2,Argelaguet_2022,Rostral_neurectoderm_vs_Spinal_cord,6,8
Experiment 2,Argelaguet_2022,Erythroid1_vs_Neural_crest,6,6
Experiment 2,Argelaguet_2022,Erythroid2_vs_Intermediate_mesoderm,6,8
Experiment 2,Argelaguet_2022,ExE_ectoderm_vs_NMP,6,6
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_Intermediate_mesoderm,7,8
Experiment 2,Argelaguet_2022,Cardiomyocytes_vs_Intermediate_mesoderm,6,8
Experiment 2,Argelaguet_2022,Intermediate_mesoderm_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,Erythroid2_vs_Gut,6,8
Experiment 2,Argelaguet_2022,Forebrain_Midbrain_Hindbrain_vs_Pharyngeal_mesoderm,8,8
Experiment 2,Argelaguet_2022,Erythroid1_vs_Rostral_neurectoderm,6,6
Experiment 2,Argelaguet_2022,Def__endoderm_vs_ExE_endoderm,8,8
Experiment 2,Argelaguet_2022,ExE_ectoderm_vs_Surface_ectoderm,6,8
Experiment 2,Argelaguet_2022,Cardiomyocytes_vs_Erythroid1,6,6
Experiment 2,Argelaguet_2022,ExE_endoderm_vs_Haematoendothelial_progenitors,8,8
Experiment 2,Argelaguet_2022,Allantois_vs_ExE_endoderm,7,8
Experiment 2,Argelaguet_2022,Gut_vs_Pharyngeal_mesoderm,8,8
Experiment 2,Argelaguet_2022,Endothelium_vs_Surface_ectoderm,7,8
Experiment 2,Argelaguet_2022,Endothelium_vs_ExE_mesoderm,7,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Erythroid1,8,6
Experiment 2,Argelaguet_2022,Erythroid1_vs_Surface_ectoderm,6,8
Experiment 2,Argelaguet_2022,Forebrain_Midbrain_Hindbrain_vs_Haematoendothelial_progenitors,8,8
Experiment 2,Argelaguet_2022,Allantois_vs_Erythroid2,7,6
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Rostral_neurectoderm,8,6
Experiment 2,Argelaguet_2022,Gut_vs_Surface_ectoderm,8,8
Experiment 2,Argelaguet_2022,ExE_mesoderm_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Paraxial_mesoderm,8,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Erythroid3,8,4
Experiment 2,Argelaguet_2022,Gut_vs_Mesenchyme,8,8
Experiment 2,Argelaguet_2022,Intermediate_mesoderm_vs_Spinal_cord,8,8
Experiment 2,Argelaguet_2022,Gut_vs_Visceral_endoderm,8,8
Experiment 2,Argelaguet_2022,ExE_endoderm_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,Mesenchyme_vs_Rostral_neurectoderm,8,6
Experiment 2,Argelaguet_2022,Spinal_cord_vs_Visceral_endoderm,8,8
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_ExE_endoderm,7,8
Experiment 2,Argelaguet_2022,Def__endoderm_vs_ExE_ectoderm,8,6
Experiment 2,Argelaguet_2022,Neural_crest_vs_Somitic_mesoderm,6,8
Experiment 2,Argelaguet_2022,Cardiomyocytes_vs_ExE_mesoderm,6,8
Experiment 2,Argelaguet_2022,Def__endoderm_vs_ExE_mesoderm,8,8
Experiment 2,Argelaguet_2022,Erythroid3_vs_Spinal_cord,4,8
Experiment 2,Argelaguet_2022,ExE_ectoderm_vs_Mesenchyme,6,8
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_NMP,7,6
Experiment 2,Argelaguet_2022,Erythroid3_vs_Intermediate_mesoderm,4,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Def__endoderm,8,8
Experiment 2,Argelaguet_2022,ExE_mesoderm_vs_Spinal_cord,8,8
Experiment 2,Argelaguet_2022,Cardiomyocytes_vs_Mesenchyme,6,8
Experiment 2,Argelaguet_2022,ExE_mesoderm_vs_Gut,8,8
Experiment 2,Argelaguet_2022,Cardiomyocytes_vs_Visceral_endoderm,6,8
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_Haematoendothelial_progenitors,7,8
Experiment 2,Argelaguet_2022,Mesenchyme_vs_Neural_crest,8,6
Experiment 2,Argelaguet_2022,Caudal_Mesoderm_vs_ExE_mesoderm,7,8
Experiment 2,Argelaguet_2022,NMP_vs_Spinal_cord,6,8
Experiment 2,Argelaguet_2022,Blood_progenitors_2_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,Gut_vs_Somitic_mesoderm,8,8
Experiment 2,Argelaguet_2022,Blood_progenitors_1_vs_Cardiomyocytes,8,6
